,speaker,date,state,city,population,title,citation,categories,link
0,John McCain,"January 03, 2008",unknown,unknown,-1,Remarks Following the Iowa Caucuses,"John McCain, Remarks Following the Iowa Caucuses Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/276854","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/remarks-following-the-iowa-caucuses-3
1,Mitt Romney,"January 03, 2008",unknown,unknown,-1,Remarks Following the Iowa Caucuses,"Mitt Romney, Remarks Following the Iowa Caucuses Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/276859","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/remarks-following-the-iowa-caucuses-5
2,Hillary Clinton,"January 03, 2008",unknown,unknown,-1,Remarks Following the Iowa Caucuses,"Hillary Clinton, Remarks Following the Iowa Caucuses Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/276862","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/remarks-following-the-iowa-caucuses-6
3,Barack Obama,"January 03, 2008",Iowa,unknown,-1,Remarks Following the Iowa Caucuses,"Barack Obama, Remarks Following the Iowa Caucuses Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/276852","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/remarks-following-the-iowa-caucuses-2
4,Hillary Clinton,"January 04, 2008",New Hampshire,unknown,-1,Remarks at the New Hampshire Democratic Party 100 Club Dinner in Milford,"Hillary Clinton, Remarks at the New Hampshire Democratic Party 100 Club Dinner in Milford Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/277634","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/remarks-the-new-hampshire-democratic-party-100-club-dinner-milford
5,John McCain,"January 06, 2008",unknown,unknown,-1,"Interview with Bob Schieffer on CBS News' ""Face the Nation""","John McCain, Interview with Bob Schieffer on CBS News' ""Face the Nation"" Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/279162","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/interview-with-bob-schieffer-cbs-news-face-the-nation-5
6,John McCain,"January 08, 2008",New Hampshire,unknown,-1,Remarks Following the New Hampshire Primary,"John McCain, Remarks Following the New Hampshire Primary Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/276829","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/remarks-following-the-new-hampshire-primary-1
7,Mitt Romney,"January 08, 2008",unknown,unknown,-1,Remarks Following the New Hampshire Primary,"Mitt Romney, Remarks Following the New Hampshire Primary Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/276835","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/remarks-following-the-new-hampshire-primary-3
8,Hillary Clinton,"January 08, 2008",unknown,unknown,-1,Remarks Following the New Hampshire Primary,"Hillary Clinton, Remarks Following the New Hampshire Primary Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/276816","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/remarks-following-the-new-hampshire-primary-0
9,Barack Obama,"January 08, 2008",unknown,unknown,-1,Remarks Following the New Hampshire Primary,"Barack Obama, Remarks Following the New Hampshire Primary Online by Gerhard Peters and John T. Woolley, The American Presidency Project https://www.presidency.ucsb.edu/node/276824","['Presidential (73842)', 'Elections and Transitions (16448)']",https://www.presidency.ucsb.edu/documents/remarks-following-the-new-hampshire-primary-2
